,En_#_Peaks,α_HOMO_Med,α_HOMO_#_Peaks,β_HOMO_1_Med,β_HOMO_Med,α_gap_Med,label
4843,0.0,0.03477308795,3.0,-0.1346114977,-0.11354146415,0.0956298656,0
4844,2.0,0.0392895102,4.0,-0.17236947665000002,-0.1549223094,0.07878563964999999,1
4845,2.0,0.0530121617,2.0,-0.17966888144999998,-0.1649918758,0.07321964249999999,1
4846,0.0,0.020414648299999998,2.0,-0.21386671429999998,-0.15805053395000002,0.11312261145,1
4847,0.0,0.0193526165,2.0,-0.1623340861,-0.0954533968,0.1156419351,0
4848,0.0,0.03454893815,3.0,-0.31547042270000003,-0.29688948295,0.0812287411,1
4849,0.0,0.0355342979,4.0,-0.2753631825,-0.2521452859,0.08405588865,0
4850,0.0,-0.014017133099999999,4.0,-0.2071915786,-0.1324359196,0.16521522765000002,0
4851,0.0,0.0449297223,1.0,-0.29994660085,-0.28244918505,0.07143494645000001,1
4852,0.0,0.03476849005,1.0,-0.15685865085,-0.1063286115,0.10736024990000001,0
4853,0.0,0.0290470644,2.0,-0.2374343031,-0.1734601316,0.09316480334999999,1
4854,1.0,0.04521803275,5.0,-0.2015396044,-0.14961675675,0.09219910149999999,1
4855,1.0,0.040408201899999996,3.0,-0.21744428175,-0.15079548955,0.09991542889999999,1
4856,0.0,0.029244800600000002,4.0,-0.29658413564999997,-0.23059445309999999,0.09383420975,0
4857,0.0,0.0414046155,2.0,-0.2807740235,-0.2372341688,0.07028511185,0
4858,1.0,0.05207746715,3.0,-0.2180327012,-0.16704801225,0.085205827,1
4859,0.0,0.015744622200000002,3.0,-0.26465302064999996,-0.21952337955,0.10434295635,0
4860,1.0,0.0426833848,3.0,-0.2233325894,-0.17026502135,0.09934009759999998,1
4861,0.0,0.0462832324,5.0,-0.24310527465,-0.14659959579999998,0.09517104185,1
4862,0.0,0.041531546350000004,3.0,-0.27744521099999997,-0.26641972835,0.08025969275,0
4863,0.0,-0.008854310649999999,1.0,-0.1824988771,-0.10647258849999999,0.1464090009,0
4864,1.0,0.051387551850000004,3.0,-0.24405336630000002,-0.1292458629,0.08867789740000001,1
4865,0.0,0.00447997665,1.0,-0.1680747021,-0.13211369335,0.12835094874999997,0
4866,0.0,0.0302799307,2.0,-0.2085571234,-0.154470787,0.099215073,1
4867,2.0,0.05428147665,2.0,-0.21938719965,-0.1645917452,0.07723136844999999,1
4868,0.0,-0.00597971065,1.0,-0.183050081,-0.08087200835,0.14683396929999998,0
4869,0.0,0.0043290883499999995,3.0,-0.22031180535,-0.08961771945,0.12549717155,0
4870,0.0,0.036167681300000004,2.0,-0.252767968,-0.1335738737,0.10834456280000002,1
4871,0.0,0.02353938765,1.0,-0.2475058686,-0.13886283675,0.12362530975,1
4872,0.0,0.036231590849999995,1.0,-0.2974413046,-0.25159832169999996,0.0868324112,0
4873,0.0,0.010555786349999999,1.0,-0.16728262459999999,-0.08648781394999999,0.11138443735,0
4874,0.0,0.00335094985,1.0,-0.20493230605,-0.0880635493,0.1195900795,0
4875,2.0,0.0686799409,4.0,-0.24959005694999997,-0.12290094125,0.07207778425,1
