mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
0.014800262451171876,0.0020840017812205386,0.002798032760620117,0.0005658987678602209,1.0,1,"{'learning_rate': 1, 'n_estimators': 1}",0.944232,0.9411894999999999,0.94252,0.9432275,0.937634,0.9417606,0.0022887238671364537,31,0.9450885625,0.9439774999999999,0.94504384375,0.94504609375,0.94493721875,0.94481864375,0.0004235298130924772,0.8915,0.8835,0.8865,0.89,0.8765,0.8855999999999999,0.005332916650389367,31,0.887625,0.8915,0.89075,0.889375,0.889125,0.8896750000000001,0.0013476831971943463
0.5640634059906006,0.0023516464505282325,0.0040090084075927734,0.0006006539598716956,1.0,50,"{'learning_rate': 1, 'n_estimators': 50}",0.9612930000000001,0.9616545,0.9616244999999999,0.9627134999999999,0.9697060000000001,0.9633983,0.0031898439867805847,23,0.98863846875,0.9898729687500001,0.9894741249999999,0.9861400625000001,0.9887393437499999,0.9885729937500001,0.0013002373856879138,0.9155,0.9145,0.9175,0.913,0.9225,0.9166000000000001,0.0032924155266308565,19,0.956,0.958875,0.958,0.95275,0.95475,0.9560749999999999,0.0022073740054644195
1.1314612865447997,0.006659761451929265,0.004828310012817383,5.999164828685511e-05,1.0,100,"{'learning_rate': 1, 'n_estimators': 100}",0.960318,0.95579,0.9618755000000001,0.9601510000000001,0.9678049999999999,0.9611879,0.00387886628282024,25,0.9960665937500001,0.99609946875,0.9965558125,0.9905859374999999,0.9957180937500001,0.99500518125,0.0022256000744006353,0.918,0.9065,0.9205,0.9075,0.9205,0.9145999999999999,0.006280127387243044,24,0.974625,0.979375,0.980625,0.965375,0.97675,0.9753499999999999,0.0054039337523696575
1.6834783554077148,0.003468501836590917,0.006059885025024414,0.00015224306064720835,1.0,150,"{'learning_rate': 1, 'n_estimators': 150}",0.9597100000000001,0.9559099999999999,0.9621144999999999,0.9579090000000001,0.9657445,0.9602775999999998,0.0034137827318093806,28,0.9992236875,0.9989956249999999,0.9993185625000001,0.9930972187500001,0.9985786875,0.9978427562500001,0.002386453541476303,0.9165,0.906,0.9145,0.907,0.9215,0.9131,0.005860034129593425,25,0.9885,0.992375,0.99275,0.972375,0.988,0.9868,0.0074685172557878024
2.2498533725738525,0.005010666334528736,0.0073223114013671875,0.0001248952034395642,1.0,200,"{'learning_rate': 1, 'n_estimators': 200}",0.9614130000000001,0.95572,0.9613060000000001,0.9592504999999999,0.9654745,0.9606328000000002,0.0031796328813245263,27,0.9999483124999999,0.9980143125000001,0.9999800624999999,0.99509821875,0.9994965625,0.99850749375,0.001848732439106885,0.919,0.905,0.921,0.91,0.9245,0.9159,0.007255342858886815,20,0.99725,0.99675,0.999125,0.98025,0.99625,0.993925,0.006906337669126836
5.647107839584351,0.019882573371436722,0.014869785308837891,0.0003467248728513371,1.0,500,"{'learning_rate': 1, 'n_estimators': 500}",0.964495,0.954088,0.961182,0.9566219999999999,0.968469,0.9609712,0.005195624905629752,26,1.0,0.99726775,1.0,0.9980030625,1.0,0.9990541624999999,0.001181516530512789,0.9195,0.905,0.923,0.91,0.926,0.9167,0.007947326594522214,18,1.0,0.9985,1.0,0.99875,1.0,0.9994500000000001,0.0006782329983125061
0.012352085113525391,4.645201634350008e-05,0.0021486759185791017,3.0694537893794624e-05,0.5,1,"{'learning_rate': 0.5, 'n_estimators': 1}",0.944232,0.9411894999999999,0.94252,0.9432275,0.937634,0.9417606,0.0022887238671364537,31,0.9450885625,0.9439774999999999,0.94504384375,0.94504609375,0.94493721875,0.94481864375,0.0004235298130924772,0.8915,0.8835,0.8865,0.89,0.8765,0.8855999999999999,0.005332916650389367,31,0.887625,0.8915,0.89075,0.889375,0.889125,0.8896750000000001,0.0013476831971943463
0.561738920211792,0.0009241381587891337,0.0036646842956542967,3.225245607286769e-05,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.9678275000000001,0.9722844999999999,0.9643619999999998,0.96805,0.9732145,0.9691477,0.0032320016800738414,16,0.9856136875,0.9860586875,0.9856751874999999,0.98677321875,0.9851570625000002,0.9858555687499999,0.0005407945385899307,0.915,0.9205,0.924,0.9205,0.9255,0.9211,0.0036249137920783647,14,0.950875,0.9495,0.947625,0.9485,0.949625,0.949225,0.001099431671364797
1.1264981746673584,0.008206795680995865,0.004939031600952148,2.282023277301641e-05,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.9618885,0.9695455,0.9629985000000001,0.964591,0.9692355,0.9656518000000001,0.003172744231733756,19,0.9934133750000002,0.9931155,0.9930052812500001,0.99281453125,0.9928910312499998,0.99304794375,0.0002092973301834358,0.9155,0.9225,0.922,0.918,0.922,0.9200000000000002,0.002774887385102332,16,0.968625,0.96575,0.966875,0.967125,0.965,0.9666750000000001,0.0012414709017935116
1.6877161026000977,0.006520525172883145,0.006136178970336914,7.784459710842279e-05,0.5,150,"{'learning_rate': 0.5, 'n_estimators': 150}",0.9621684999999999,0.9708865,0.9619429999999999,0.9646525,0.96834,0.9655981,0.003507171558392929,20,0.9964205312500001,0.996459625,0.9970352812500001,0.9967249062500001,0.99625834375,0.9965797375000001,0.00027263956403100466,0.9225,0.9235,0.922,0.923,0.9215,0.9225000000000001,0.0007071067811865481,11,0.98075,0.979875,0.98025,0.979375,0.978375,0.979725,0.0008116341540373972
