mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
2.8497081756591798,0.019928906161260303,0.014848613739013672,0.0001690621823886466,0.6,{'subsample': 0.6},0.973702,0.9747129999999999,0.974735,0.975096,0.976654,0.9749799999999998,0.0009571133684156961,2,0.9951900625000001,0.995639375,0.995439875,0.9953354375,0.99524175,0.9953693000000001,0.00015966407802787402,0.9215,0.9255,0.9285,0.927,0.9315,0.9268000000000001,0.0033105890714493734,4,0.967125,0.967125,0.966125,0.964375,0.96575,0.9661,0.0010198039027185682
3.2586848735809326,0.04002873150705345,0.014564418792724609,0.00012830310146512503,0.7,{'subsample': 0.7},0.97383,0.9748419999999999,0.9747469999999999,0.97446,0.977441,0.9750639999999999,0.0012399575799195875,1,0.9955109375,0.9954417499999999,0.9957693125,0.9949064375000001,0.9954990625,0.9954255,0.00028305758579303753,0.923,0.9255,0.9285,0.925,0.9305,0.9265000000000001,0.0026645825188948273,5,0.96675,0.967375,0.966375,0.966125,0.964625,0.9662499999999999,0.0009151502608861677
3.6478515625,0.022488409283607187,0.014721202850341796,0.0002460798716014087,0.8,{'subsample': 0.8},0.9728545,0.9744849999999999,0.9749335,0.974686,0.9779299999999999,0.9749778000000001,0.0016464415750338283,3,0.99571125,0.9959245624999999,0.9961998125,0.9956525,0.9956945625000001,0.9958365375,0.0002046659648976512,0.925,0.9265,0.9305,0.9265,0.935,0.9286999999999999,0.003641428291206636,1,0.96825,0.968,0.968375,0.966125,0.967875,0.9677250000000001,0.0008192984804086969
4.042524147033691,0.03375078761957309,0.014535474777221679,0.00016238825066145144,0.9,{'subsample': 0.9},0.9727035,0.974665,0.9748824999999999,0.9746459999999999,0.976883,0.974756,0.0013246334209885795,4,0.9959315,0.9960368749999999,0.9962464375,0.9957557499999999,0.9956567812500001,0.99592546875,0.00020807022552490323,0.922,0.924,0.9295,0.926,0.9355,0.9274000000000001,0.004747630988187668,3,0.969375,0.96775,0.96775,0.967375,0.967875,0.9680250000000001,0.0006955213871621738
4.382456207275391,0.05460216354720331,0.014117193222045899,0.0003877036640698668,1.0,{'subsample': 1.0},0.9721329999999999,0.972547,0.974431,0.9737099999999999,0.9755364999999999,0.9736714999999998,0.001240002419352471,5,0.9954310937499999,0.99501125,0.9955757812499999,0.9954895625000001,0.9949721562500001,0.99529596875,0.0002529630971418554,0.9255,0.924,0.932,0.926,0.9305,0.9276,0.0030886890422960997,2,0.966875,0.96575,0.9665,0.96475,0.965125,0.9658000000000001,0.0008007808689023628
