mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
4.454849290847778,0.018832547370103314,0.014547300338745118,0.0001401344337914678,1,2,"{'min_samples_leaf': 1, 'min_samples_split': 2}",0.9720345,0.9744359999999999,0.9757445,0.9734309999999999,0.9774439999999999,0.9746179999999999,0.0018639658526914797,3,0.9966422812500001,0.9961784375,0.9966616875,0.9962086562500002,0.9961976875,0.9963777500000001,0.00022420435276073673,0.926,0.93,0.9325,0.9265,0.9335,0.9297000000000001,0.003043024810940578,6,0.969,0.96575,0.967625,0.967375,0.96775,0.9675,0.0010398317171542632
4.440169191360473,0.03851902307245497,0.01472630500793457,0.0006599714915076626,1,3,"{'min_samples_leaf': 1, 'min_samples_split': 3}",0.9702215,0.9745779999999998,0.9756075,0.974069,0.9772719999999999,0.9743496,0.0023364437378203527,5,0.99645159375,0.9961324062499999,0.9967057500000001,0.9963766875000001,0.9963884375000001,0.9964109750000001,0.00018320824409164558,0.929,0.93,0.935,0.925,0.9345,0.9307000000000001,0.0037094473981982732,1,0.969125,0.967625,0.96875,0.96725,0.969,0.96835,0.000764035339496797
4.423447036743164,0.03686878102386917,0.01453862190246582,0.00028158114772402793,1,4,"{'min_samples_leaf': 1, 'min_samples_split': 4}",0.9717169999999999,0.9745709999999999,0.9751245000000001,0.974109,0.977476,0.9745994999999998,0.0018493288512322773,4,0.9965291562499999,0.996119375,0.99651359375,0.9960134375,0.9961296250000001,0.9962610375000001,0.00021647891009428442,0.9275,0.931,0.9315,0.926,0.9355,0.9303000000000001,0.0033256578296631694,2,0.969,0.967875,0.96575,0.966125,0.96825,0.9673999999999999,0.0012534951136721692
4.402909517288208,0.05159912899304813,0.014446353912353516,0.0003172868717739933,1,5,"{'min_samples_leaf': 1, 'min_samples_split': 5}",0.9722795000000002,0.97454,0.9759059999999999,0.9743899999999999,0.976885,0.9748001000000001,0.0015594281772495376,1,0.9965105,0.9959700625000001,0.99635471875,0.9964263750000001,0.9957960625000002,0.99621154375,0.00027819570421506415,0.928,0.93,0.934,0.9265,0.9325,0.9301999999999999,0.0027676705006196172,3,0.967375,0.966375,0.967,0.9675,0.966375,0.966925,0.00047827816174273477
4.391910982131958,0.024128653747877735,0.014363813400268554,0.00023476167931229616,1,6,"{'min_samples_leaf': 1, 'min_samples_split': 6}",0.9715045,0.974197,0.974914,0.9738660000000001,0.9768650000000002,0.9742693000000001,0.0017300458837846437,8,0.996187,0.99598375,0.9964316562500001,0.9960089062499999,0.99581359375,0.9960849812500001,0.00020989412937690992,0.9305,0.9305,0.931,0.924,0.9345,0.9301,0.0033970575502925916,4,0.967375,0.96525,0.966125,0.9665,0.9665,0.96635,0.0006864765108872793
4.374153184890747,0.019036978313141963,0.014409971237182618,0.00013751709177397246,1,7,"{'min_samples_leaf': 1, 'min_samples_split': 7}",0.9717914999999999,0.974499,0.9753345000000001,0.974601,0.977097,0.9746646,0.001711812355370796,2,0.99604809375,0.99578465625,0.9963448125000001,0.9962287187500001,0.995656375,0.9960125312500001,0.0002596870600176956,0.9275,0.9305,0.9335,0.9265,0.9325,0.9301,0.0027276363393971734,4,0.967875,0.965625,0.96675,0.96625,0.967875,0.9668749999999999,0.0008909264840602964
4.380331087112427,0.032711806121735465,0.0142822265625,0.00024864371731632163,1,8,"{'min_samples_leaf': 1, 'min_samples_split': 8}",0.9715284999999999,0.973923,0.975348,0.974052,0.9768469999999999,0.9743397,0.0017585492771031502,6,0.9961833125,0.99586859375,0.9960475,0.9959683749999999,0.99530025,0.99587360625,0.0003045983020717593,0.9285,0.9295,0.9325,0.9245,0.932,0.9294,0.002870540018881477,8,0.967875,0.9655,0.966125,0.96575,0.964875,0.9660249999999999,0.0010105691465703908
4.417273473739624,0.026476858359087654,0.014553546905517578,0.00014612573378079767,2,2,"{'min_samples_leaf': 2, 'min_samples_split': 2}",0.9716904999999999,0.9728964999999999,0.975062,0.9740149999999999,0.9764239999999998,0.9740175999999998,0.0016464385017363886,17,0.9961460000000001,0.9957840937500001,0.9967003124999999,0.99617403125,0.9960221874999999,0.9961653250000001,0.0003008276880385072,0.9235,0.928,0.934,0.9245,0.9315,0.9283000000000001,0.004007492981902794,17,0.968125,0.968125,0.9685,0.966625,0.967875,0.96785,0.000644204936336281
4.403523778915405,0.015487494945260681,0.014495372772216797,0.00022718941305900132,2,3,"{'min_samples_leaf': 2, 'min_samples_split': 3}",0.9716904999999999,0.9728964999999999,0.975062,0.9740149999999999,0.9764239999999998,0.9740175999999998,0.0016464385017363886,17,0.9961460000000001,0.9957840937500001,0.9967003124999999,0.99617403125,0.9960221874999999,0.9961653250000001,0.0003008276880385072,0.9235,0.928,0.934,0.9245,0.9315,0.9283000000000001,0.004007492981902794,17,0.968125,0.968125,0.9685,0.966625,0.967875,0.96785,0.000644204936336281
4.423747396469116,0.028737947494259113,0.014688062667846679,0.0002692068374600213,2,4,"{'min_samples_leaf': 2, 'min_samples_split': 4}",0.9716904999999999,0.9728964999999999,0.975062,0.9740149999999999,0.9764239999999998,0.9740175999999998,0.0016464385017363886,17,0.9961460000000001,0.9957840937500001,0.9967003124999999,0.99617403125,0.9960221874999999,0.9961653250000001,0.0003008276880385072,0.9235,0.928,0.934,0.9245,0.9315,0.9283000000000001,0.004007492981902794,17,0.968125,0.968125,0.9685,0.966625,0.967875,0.96785,0.000644204936336281
4.392137098312378,0.007641707523958304,0.014376068115234375,0.00018497303161319956,2,5,"{'min_samples_leaf': 2, 'min_samples_split': 5}",0.9720834999999999,0.973291,0.975027,0.974232,0.9769089999999999,0.9743084999999999,0.0016291486120056722,7,0.9959495625,0.9956585937500001,0.9965915,0.9958758125,0.9958062187500001,0.9959763374999999,0.00032222618063147413,0.9265,0.9275,0.932,0.923,0.9325,0.9282999999999999,0.0035580893749314374,20,0.967875,0.96675,0.96825,0.965625,0.967625,0.967225,0.0009400797838481876
4.40971794128418,0.03756474309208381,0.014422225952148437,0.0002858871366186194,2,6,"{'min_samples_leaf': 2, 'min_samples_split': 6}",0.9715554999999999,0.972687,0.975034,0.9740709999999999,0.976428,0.9739550999999999,0.0017122412330042886,25,0.99585678125,0.9961347500000001,0.9962061249999999,0.9958398124999999,0.99520165625,0.995847825,0.0003545090446439586,0.927,0.9285,0.934,0.926,0.9325,0.9296000000000001,0.0031208973068654433,7,0.968625,0.96775,0.967875,0.96625,0.967125,0.967525,0.0007960841664045066
4.400973701477051,0.022152919272612436,0.014495229721069336,0.00027652993466144467,2,7,"{'min_samples_leaf': 2, 'min_samples_split': 7}",0.9714625,0.9737009999999999,0.9751480000000001,0.9740449999999999,0.9764519999999999,0.9741617,0.001657094191649933,9,0.99571178125,0.99576003125,0.9961616250000002,0.9954955000000001,0.9956886875000001,0.9957635250000001,0.00021845424417229497,0.9255,0.9285,0.9305,0.925,0.9335,0.9286000000000001,0.003168595903550962,15,0.96875,0.96675,0.968375,0.965625,0.966875,0.9672750000000001,0.0011440061188647626
4.361908769607544,0.011843750929126928,0.014333534240722656,0.0002346177601004562,2,8,"{'min_samples_leaf': 2, 'min_samples_split': 8}",0.9721059999999999,0.972999,0.9746905,0.9737699999999999,0.9760435,0.9739218,0.0013611938363069572,26,0.9957846875,0.9954002812499999,0.99610575,0.9958478437500001,0.99513471875,0.9956546562499999,0.0003443128670128975,0.926,0.9285,0.932,0.925,0.9335,0.9289999999999999,0.003301514803843825,9,0.9665,0.96625,0.966875,0.965625,0.966375,0.966325,0.00040773766075752815
4.394502592086792,0.037280076626563956,0.01441507339477539,0.00018920549939391672,3,2,"{'min_samples_leaf': 3, 'min_samples_split': 2}",0.9717529999999999,0.973368,0.974944,0.9737849999999999,0.976046,0.9739791999999999,0.0014539426948817862,20,0.9954488750000001,0.99587,0.9961390625000001,0.995776875,0.99549509375,0.99574598125,0.0002537970073454303,0.9245,0.928,0.9325,0.924,0.9355,0.9289,0.004487761134463365,10,0.967125,0.967,0.967,0.966375,0.9665,0.9667999999999999,0.0003020761493398586
4.397733068466186,0.021637157165796138,0.01448526382446289,0.00021288916003309391,3,3,"{'min_samples_leaf': 3, 'min_samples_split': 3}",0.9717529999999999,0.973368,0.974944,0.9737849999999999,0.976046,0.9739791999999999,0.0014539426948817862,20,0.9954488750000001,0.99587,0.9961390625000001,0.995776875,0.99549509375,0.99574598125,0.0002537970073454303,0.9245,0.928,0.9325,0.924,0.9355,0.9289,0.004487761134463365,10,0.967125,0.967,0.967,0.966375,0.9665,0.9667999999999999,0.0003020761493398586
4.371317386627197,0.004715896465121855,0.014512968063354493,0.00019446781488651198,3,4,"{'min_samples_leaf': 3, 'min_samples_split': 4}",0.9717529999999999,0.973368,0.974944,0.9737849999999999,0.976046,0.9739791999999999,0.0014539426948817862,20,0.9954488750000001,0.99587,0.9961390625000001,0.995776875,0.99549509375,0.99574598125,0.0002537970073454303,0.9245,0.928,0.9325,0.924,0.9355,0.9289,0.004487761134463365,10,0.967125,0.967,0.967,0.966375,0.9665,0.9667999999999999,0.0003020761493398586
